2022-05-24T18:40:50.472486307Z .:5353
2022-05-24T18:40:50.472619666Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:50.472654510Z CoreDNS-1.8.7
2022-05-24T18:40:50.472654510Z linux/amd64, go1.17.5, 
2022-05-24T19:28:43.175435685Z [INFO] 10.128.4.12:42339 - 57366 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000284566s
2022-05-24T19:28:43.544226629Z [INFO] 10.128.4.12:51746 - 35803 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00030011s
2022-05-24T19:28:43.574884799Z [INFO] 10.128.4.12:47641 - 46110 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000293563s
2022-05-24T19:28:43.713468031Z [INFO] 10.128.4.12:39216 - 6317 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000347384s
2022-05-24T19:29:12.789394009Z [INFO] 10.128.2.5:41752 - 37394 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000319677s
2022-05-24T19:31:17.316276438Z [INFO] 10.128.4.12:47146 - 25035 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000353597s
2022-05-24T19:31:17.329518650Z [INFO] 10.128.4.12:55035 - 34496 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000253342s
2022-05-24T19:31:23.819537255Z [INFO] 10.128.0.75:51888 - 8909 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000297739s
2022-05-24T19:31:24.369274859Z [INFO] 10.128.0.75:44338 - 8991 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000370774s
2022-05-24T19:31:30.889843823Z [INFO] 10.128.4.12:48400 - 58749 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.004245076s
2022-05-24T19:31:30.983975467Z [INFO] 10.128.4.12:56394 - 57040 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000394476s
2022-05-24T19:33:36.757694613Z [INFO] 10.128.4.12:38183 - 10980 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000411076s
2022-05-24T19:33:44.304319119Z [INFO] 10.131.2.2:55836 - 63973 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000331247s
2022-05-24T19:33:48.779304575Z [INFO] 10.131.0.6:57873 - 20574 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00034204s
2022-05-24T19:33:54.543803915Z [INFO] 10.128.4.12:53904 - 15355 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000291862s
2022-05-24T19:34:10.442460986Z [INFO] 10.128.4.12:58025 - 22273 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000297911s
2022-05-24T19:35:15.923738159Z [INFO] 10.128.0.75:33288 - 10156 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000390596s
2022-05-24T19:36:18.251771378Z [INFO] 10.128.0.75:38934 - 57230 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000414792s
