2022-05-24T18:40:08.722914421Z .:5353
2022-05-24T18:40:08.723012513Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:08.723022065Z CoreDNS-1.8.7
2022-05-24T18:40:08.723022065Z linux/amd64, go1.17.5, 
2022-05-24T19:32:13.852809249Z [INFO] 10.128.0.75:58098 - 36392 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000488996s
2022-05-24T19:37:49.732343175Z [INFO] 10.128.0.28:48922 - 34112 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000269891s
2022-05-24T19:39:17.715730456Z [INFO] 10.130.0.10:40441 - 45227 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000405626s
2022-05-24T19:41:46.084776266Z [INFO] 10.128.0.75:50748 - 15281 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000403451s
2022-05-24T19:41:52.913643124Z [INFO] 10.129.0.4:57244 - 57942 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000402384s
2022-05-24T19:42:12.093326850Z [INFO] 10.128.0.75:34199 - 1924 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000350911s
2022-05-24T19:46:03.435627677Z [INFO] 10.128.4.12:57620 - 6980 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000316423s
2022-05-24T19:46:32.205416245Z [INFO] 10.128.0.75:32801 - 14752 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000337202s
2022-05-24T19:58:28.861033292Z [INFO] 10.129.2.6:38786 - 11039 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00033948s
2022-05-24T19:58:54.106783219Z [INFO] 10.129.0.4:50641 - 36376 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000274621s
2022-05-24T19:59:58.553035035Z [INFO] 10.128.0.75:57782 - 43401 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000528562s
2022-05-24T20:03:50.044689709Z [INFO] 10.131.0.6:46072 - 18526 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00090725s
2022-05-24T20:03:54.419073769Z [INFO] 10.129.0.4:40175 - 61499 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000295232s
2022-05-24T20:05:13.349918460Z [INFO] 10.128.0.1:32066 - 36493 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000310564s
2022-05-24T20:06:46.303335300Z [INFO] 10.131.2.2:50111 - 11268 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000412078s
2022-05-24T20:06:54.726840921Z [INFO] 10.128.0.75:37865 - 62342 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000308947s
2022-05-24T20:09:14.795674793Z [INFO] 10.128.2.5:44795 - 34949 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000392749s
2022-05-24T20:09:50.354526788Z [INFO] 10.131.0.6:50909 - 20866 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000350097s
2022-05-24T20:12:20.430842942Z [INFO] 10.128.4.5:53407 - 23702 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000350106s
