2022-05-24T18:49:36.744242894Z I0524 18:49:36.744161       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:49:36.744398246Z I0524 18:49:36.744376       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:49:38.659127022Z I0524 18:49:38.659072       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:49:38.659343740Z I0524 18:49:38.659324       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:50:03.216648655Z I0524 18:50:03.216576       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:50:03.216918536Z I0524 18:50:03.216882       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:50:04.670986522Z I0524 18:50:04.670928       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:50:04.671536504Z I0524 18:50:04.671171       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:50:29.238291395Z I0524 18:50:29.238249       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:50:29.238482311Z I0524 18:50:29.238458       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:50:30.683749508Z I0524 18:50:30.683699       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:50:30.683961734Z I0524 18:50:30.683936       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
