2022-05-24T18:44:21.636900566Z .:5353
2022-05-24T18:44:21.637001734Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:44:21.637010502Z CoreDNS-1.8.7
2022-05-24T18:44:21.637010502Z linux/amd64, go1.17.5, 
2022-05-24T19:39:55.987539932Z [INFO] 10.128.4.12:59664 - 49010 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000304878s
2022-05-24T19:39:57.063148877Z [INFO] 10.128.4.12:45431 - 57160 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000396321s
2022-05-24T19:42:49.114375567Z [INFO] 10.131.0.6:57864 - 10995 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000265098s
2022-05-24T19:42:52.978161162Z [INFO] 10.129.0.4:51232 - 26748 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000384227s
2022-05-24T19:46:09.157818541Z [INFO] 10.128.0.75:49008 - 4511 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000300886s
2022-05-24T19:48:16.250522866Z [INFO] 10.128.0.75:40418 - 30835 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000374093s
2022-05-24T19:49:48.527582575Z [INFO] 10.128.4.12:35481 - 16906 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000299676s
2022-05-24T19:50:45.333349839Z [INFO] 10.131.2.2:43417 - 62123 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000306928s
2022-05-24T19:55:28.756569396Z [INFO] 10.129.2.6:58161 - 36180 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000381611s
2022-05-24T19:55:45.620209189Z [INFO] 10.131.2.2:51213 - 5590 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000283641s
2022-05-24T19:56:56.600342273Z [INFO] 10.130.2.2:42521 - 8186 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000267102s
2022-05-24T19:58:10.331537009Z [INFO] 10.128.0.1:20294 - 35565 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000686395s
2022-05-24T19:59:28.871167941Z [INFO] 10.129.2.6:47988 - 47372 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000539984s
2022-05-24T20:05:14.640706812Z [INFO] 10.128.2.5:42969 - 59404 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000389912s
2022-05-24T20:07:14.700341523Z [INFO] 10.128.2.5:56747 - 16142 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000272215s
2022-05-24T20:09:30.810505857Z [INFO] 10.128.0.75:59420 - 39663 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000665559s
2022-05-24T20:10:46.530467917Z [INFO] 10.131.2.2:32803 - 48587 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000367306s
2022-05-24T20:10:51.978537337Z [INFO] 10.128.0.28:36855 - 8794 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000293141s
2022-05-24T20:14:42.959154702Z [INFO] 10.128.0.75:37113 - 40396 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000315729s
2022-05-24T20:15:42.747015744Z [INFO] 10.128.0.75:48119 - 54745 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000352374s
2022-05-24T20:15:42.997306161Z [INFO] 10.128.0.75:41397 - 13223 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000267387s
2022-05-24T20:16:00.992728340Z [INFO] 10.128.0.75:38220 - 25546 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000607128s
2022-05-24T20:16:20.690026545Z [INFO] 10.128.4.5:47899 - 9979 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00032449s
2022-05-24T20:19:55.399767348Z [INFO] 10.129.0.4:35450 - 23273 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000318875s
2022-05-24T20:22:52.818211611Z [INFO] 10.128.0.28:37678 - 30229 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000527875s
