2022-05-24T18:38:04.906099037Z level=info ts=2022-05-24T18:38:04.906053526Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.971957509Z level=info ts=2022-05-24T18:38:04.971907748Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:05.004481350Z level=info ts=2022-05-24T18:38:05.004435201Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:05.255764402Z level=info ts=2022-05-24T18:38:05.255708403Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:05.327446485Z level=info ts=2022-05-24T18:38:05.327391141Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:05.965996214Z level=info ts=2022-05-24T18:38:05.965944714Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:05.966409166Z level=info ts=2022-05-24T18:38:05.966376111Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:06.159563987Z level=info ts=2022-05-24T18:38:06.159490008Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:06.264313159Z level=info ts=2022-05-24T18:38:06.264258928Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:06.340523427Z level=info ts=2022-05-24T18:38:06.340460195Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:06.575356399Z level=info ts=2022-05-24T18:38:06.575305342Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:06.652970528Z level=info ts=2022-05-24T18:38:06.652908776Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:06.747569103Z level=info ts=2022-05-24T18:38:06.747492895Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:06.899247441Z level=info ts=2022-05-24T18:38:06.899185932Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:07.080477988Z level=info ts=2022-05-24T18:38:07.080428146Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:07.202050052Z level=info ts=2022-05-24T18:38:07.201998086Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:07.338700370Z level=info ts=2022-05-24T18:38:07.338652539Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:07.503541228Z level=info ts=2022-05-24T18:38:07.503490398Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:07.523571342Z level=info ts=2022-05-24T18:38:07.523522349Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:40:25.934678330Z level=info ts=2022-05-24T18:40:25.934232773Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:40:40.989273734Z level=info ts=2022-05-24T18:40:40.989222381Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:40:46.963673623Z level=info ts=2022-05-24T18:40:46.961114576Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:40:46.998712722Z level=info ts=2022-05-24T18:40:46.998001044Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:40:48.907387745Z level=info ts=2022-05-24T18:40:48.907329442Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:40:48.907491135Z level=info ts=2022-05-24T18:40:48.907335462Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:40:48.969841497Z level=info ts=2022-05-24T18:40:48.969783622Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:40:49.245016030Z level=info ts=2022-05-24T18:40:49.244961021Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:45:11.361687886Z level=info ts=2022-05-24T18:45:11.348117637Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:45:11.361687886Z level=info ts=2022-05-24T18:45:11.358146579Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:45:13.300552714Z level=info ts=2022-05-24T18:45:13.300506137Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:45:13.300673884Z level=info ts=2022-05-24T18:45:13.300495141Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:45:13.332806809Z level=info ts=2022-05-24T18:45:13.332759146Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:45:13.571926982Z level=info ts=2022-05-24T18:45:13.571879724Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:45:28.301272458Z level=info ts=2022-05-24T18:45:28.3012162Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:45:28.301300593Z level=info ts=2022-05-24T18:45:28.30126016Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:45:30.250860304Z level=info ts=2022-05-24T18:45:30.250819555Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:45:30.250942530Z level=info ts=2022-05-24T18:45:30.250809014Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:45:30.293452167Z level=info ts=2022-05-24T18:45:30.293399062Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:45:30.534517153Z level=info ts=2022-05-24T18:45:30.534419786Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:51:49.623896019Z level=info ts=2022-05-24T18:51:49.623839653Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:51:49.624165580Z level=info ts=2022-05-24T18:51:49.624132274Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:51:51.573547391Z level=info ts=2022-05-24T18:51:51.573498599Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:51:51.573611233Z level=info ts=2022-05-24T18:51:51.573506281Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:51:51.614228325Z level=info ts=2022-05-24T18:51:51.614168047Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:51:51.880221522Z level=info ts=2022-05-24T18:51:51.880176702Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:52:06.653245191Z level=info ts=2022-05-24T18:52:06.653184237Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:52:06.666756453Z level=info ts=2022-05-24T18:52:06.653233945Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:52:08.603180777Z level=info ts=2022-05-24T18:52:08.603131081Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:52:08.603546572Z level=info ts=2022-05-24T18:52:08.603501772Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:52:08.642850190Z level=info ts=2022-05-24T18:52:08.642797937Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:52:08.893882162Z level=info ts=2022-05-24T18:52:08.893819431Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:06:49.624726081Z level=info ts=2022-05-24T19:06:49.624667228Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:06:49.627126804Z level=info ts=2022-05-24T19:06:49.627058922Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:06:51.570386173Z level=info ts=2022-05-24T19:06:51.570317216Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:06:51.570386173Z level=info ts=2022-05-24T19:06:51.570339704Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:06:51.610711098Z level=info ts=2022-05-24T19:06:51.610662418Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:06:51.863419748Z level=info ts=2022-05-24T19:06:51.863357828Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:07:06.555826861Z level=info ts=2022-05-24T19:07:06.555778801Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:07:06.555914260Z level=info ts=2022-05-24T19:07:06.555771754Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:07:08.500349028Z level=info ts=2022-05-24T19:07:08.500298892Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:07:08.500392059Z level=info ts=2022-05-24T19:07:08.500297906Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:07:08.538960906Z level=info ts=2022-05-24T19:07:08.538911993Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:07:08.780287277Z level=info ts=2022-05-24T19:07:08.780236972Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:21:49.632589893Z level=info ts=2022-05-24T19:21:49.630280667Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
