2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T18:58:15.111896227Z [INFO] 10.130.0.10:49140 - 36903 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000300038s
2022-05-24T18:58:16.542183995Z [INFO] 10.128.4.5:55681 - 57520 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00034283s
2022-05-24T18:58:49.720012714Z [INFO] 10.128.4.12:60809 - 47232 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000307845s
2022-05-24T18:59:04.404698358Z [INFO] 10.128.0.24:38149 - 31498 "A IN inputs5.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000231215s
2022-05-24T18:59:58.756407912Z [INFO] 10.130.2.10:45004 - 34685 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000616712s
2022-05-24T19:01:27.066220424Z [INFO] 10.128.0.75:52247 - 29543 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000626108s
2022-05-24T19:01:39.467526679Z [INFO] 10.131.2.8:43801 - 7482 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000675124s
2022-05-24T19:02:45.097187520Z [INFO] 10.128.0.75:48244 - 38924 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000328595s
2022-05-24T19:03:47.480047537Z [INFO] 10.128.0.28:51534 - 44789 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00036457s
2022-05-24T19:04:53.362057489Z [INFO] 10.130.2.2:37833 - 9700 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000322005s
2022-05-24T19:05:15.545465578Z [INFO] 10.130.0.10:56192 - 59794 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000352784s
2022-05-24T19:07:16.933136396Z [INFO] 10.130.2.11:58086 - 12549 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000311819s
2022-05-24T19:11:36.594041513Z [INFO] 10.131.0.58:50787 - 43963 "A IN registry.redhat.io.ec2.internal. udp 60 false 512" NXDOMAIN qr,rd,ra 49 0.000293731s
2022-05-24T19:11:36.627185201Z [INFO] 10.131.0.58:38478 - 7669 "A IN registry.redhat.io.ec2.internal. udp 60 false 512" NXDOMAIN qr,rd,ra 49 0.000293408s
2022-05-24T19:11:37.736164051Z [INFO] 10.131.0.58:33144 - 6071 "A IN registry.redhat.io.ec2.internal. udp 60 false 512" NXDOMAIN qr,rd,ra 49 0.00028376s
2022-05-24T19:11:40.115061407Z [INFO] 10.128.0.75:57743 - 61267 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00031172s
2022-05-24T19:13:26.902334633Z [INFO] 10.128.4.12:33035 - 16017 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000465628s
2022-05-24T19:14:16.417645066Z [INFO] 10.131.2.8:58434 - 58495 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000747994s
2022-05-24T19:17:21.539229235Z [INFO] 10.130.2.11:51667 - 43855 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000765996s
2022-05-24T19:17:39.232721999Z [INFO] 10.131.2.8:46296 - 38795 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000323337s
2022-05-24T19:17:46.743792770Z [INFO] 10.128.4.12:39255 - 44765 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000368199s
2022-05-24T19:19:43.440328881Z [INFO] 10.131.2.2:42167 - 14834 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00035915s
2022-05-24T19:21:31.294586214Z [INFO] 10.128.0.75:60382 - 10307 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000353607s
2022-05-24T19:22:49.444326742Z [INFO] 10.128.4.12:45724 - 5887 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000334721s
2022-05-24T19:22:56.696272749Z [INFO] 10.128.4.12:36660 - 43514 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000339544s
2022-05-24T19:22:57.022199475Z [INFO] 10.128.4.12:50369 - 5531 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000549044s
2022-05-24T19:22:58.166389473Z [INFO] 10.128.4.12:59088 - 56249 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000333666s
2022-05-24T19:23:48.825659303Z [INFO] 10.128.0.28:36865 - 59439 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000400347s
2022-05-24T19:24:25.660155357Z [INFO] 10.128.0.75:52180 - 18264 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000646821s
2022-05-24T19:24:40.480271672Z [INFO] 10.128.4.12:33795 - 39591 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000334298s
2022-05-24T19:24:40.504802521Z [INFO] 10.128.4.12:45420 - 5818 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000283035s
2022-05-24T19:25:48.954978455Z [INFO] 10.128.0.28:38577 - 59712 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000288968s
2022-05-24T19:28:41.898815339Z [INFO] 10.128.4.12:46519 - 60011 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000348743s
