2022-05-24T18:27:36.952892434Z .:5353
2022-05-24T18:27:36.953043610Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:27:36.953057071Z CoreDNS-1.8.7
2022-05-24T18:27:36.953057071Z linux/amd64, go1.17.5, 
2022-05-24T18:37:11.043207769Z [INFO] 10.128.0.75:41974 - 45124 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000484054s
2022-05-24T18:37:11.211598104Z [INFO] 10.128.0.75:33109 - 30458 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000296422s
2022-05-24T18:37:42.531973484Z [INFO] 10.131.2.7:34958 - 24003 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000234184s
2022-05-24T18:38:25.241475264Z [INFO] 10.128.0.75:37150 - 43381 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000331336s
2022-05-24T18:38:41.668717506Z [INFO] 10.130.2.2:51082 - 57866 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000306749s
2022-05-24T18:38:42.389536942Z [INFO] 10.128.2.19:38399 - 51808 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000311276s
2022-05-24T18:38:45.793916571Z [INFO] 10.128.0.28:45655 - 29125 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000365688s
2022-05-24T18:38:57.534068620Z [INFO] 10.131.2.7:47777 - 7332 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000212529s
2022-05-24T18:39:12.532678832Z [INFO] 10.131.2.7:44889 - 3914 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000349289s
2022-05-24T18:39:12.540142055Z [INFO] 10.131.2.7:37719 - 3192 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000253837s
